AKT1
AKT3
DEPDC5
MTOR
NPRL2
NPRL3
PIK3CA
PIK3R1
PTEN
RHEB
TSC1
TSC2
ALK
BARD1
BRAF
BRCA1
BRCA2
BRIP1
CBL
CCND1
CDK4
EGFR
ERBB2
FANCA
FGFR1
FGFR2
FGFR3
HRAS
KRAS
LZTR1
CTNNB1
DAXX
DEPDC5
DICER1
DROSHA
EIF1AX
ELOC
EML4
EPCAM
EZR
FANCL
FH
FOXL2
GNAS
H3-3A
H3C2
HNF1A
IDH1
IDH2
IL6ST
KBTBD4
KDM6A
KEAP1
KIF5B
KIT
KMT2C
KMT2D
MARCKS
MEN1
MITF
MLH1
MONO27 
MRE11
MSH2
MSH6
NBN
NCOA4
NR21 
NR24 
PALB2
PBRM1
PDGFRA
PMS2
POLE
PPFIA4
PRKAR1A
PRKD1
PTHLH
RAD51A
RAD51B
RAD51C
RAD54L
RET
RNF43
SDC4
SDHA
SDHB
SDHC
SDHD
SLC34A2
SMAD4
SMARCA4
TAF1B
TEK 
TERT
TFEB
TGFBR2
PRKCA
PTPN11
RAF1
RB1
RIT1
ROS1
SOS1
STK11
TP53
MAP2K1
MAP3K3
MDM2
MET
MYB
MYC-N
NF1
NF2
NRAS
ATP2A1
GNA11
GNAQ
GRIN2C
KLHL22
SF3B1
SLC35A2
ACVR2A
AIM2
APC
ARID1A
ASTE1
ATM
ATR
ATRX
BAP1
BAT25 
BAT26 
CCDC6
CD74
CDK12
CDKN2A
CDKN2B
CHEK1
CHEK2
